,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos,-9999
31,Pierre-Emerick Aubameyang,ga GAB,DL,Chelsea,33-326,1989,6.2,82,111,73.9,1053,203,56,70,80.0,22,26,84.6,2,4,50.0,0,0.4,0.2,-0.4,4,2,2,1,3,Partidos,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-019,1994,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-137,1992,18.6,619,871,71.1,9399,4056,347,423,82.0,220,312,70.5,36,81,44.4,0,1.0,0.8,-1.0,10,36,12,6,63,Partidos,5c2b4f07
34,Taiwo Awoniyi,ng NGA,DL,Nott'ham Forest,25-271,1997,12.9,128,186,68.8,1528,267,85,113,75.2,32,44,72.7,2,6,33.3,1,1.1,0.3,-0.1,9,5,2,0,11,Partidos,e5478b87
35,Yasin Ayari,se SWE,CC,Brighton,19-216,2003,0.2,10,11,90.9,198,94,5,6,83.3,2,2,100.0,3,3,100.0,0,0.1,0.3,-0.1,2,3,1,0,2,Partidos,f173303a
36,André Ayew,gh GHA,DLCC,Nott'ham Forest,33-144,1989,3.5,51,71,71.8,671,142,37,45,82.2,13,21,61.9,0,1,0.0,0,0.0,0.0,0.0,1,3,1,0,11,Partidos,5dbefa9d
37,Jordan Ayew,gh GHA,DLCC,Crystal Palace,31-241,1991,27.2,604,792,76.3,7836,1549,384,437,87.9,173,227,76.2,15,40,37.5,2,2.7,2.2,-0.7,29,32,14,6,57,Partidos,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-258,1991,19.8,693,994,69.7,11065,5657,384,445,86.3,235,327,71.9,56,134,41.8,1,2.0,2.2,-1.0,12,52,16,9,66,Partidos,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-255,1989,14.0,730,904,80.8,10865,3702,410,444,92.3,292,359,81.3,16,65,24.6,0,1.0,1.1,-1.0,10,35,16,4,62,Partidos,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-045,2001,9.1,679,762,89.1,12331,4446,260,290,89.7,362,388,93.3,51,72,70.8,0,0.5,0.2,-0.5,3,42,5,0,48,Partidos,06df8256
41,Leon Bailey,jm JAM,DLCC,Aston Villa,25-274,1997,19.8,318,510,62.4,5122,1242,176,226,77.9,93,146,63.7,34,71,47.9,3,3.7,4.0,-0.7,26,18,20,15,26,Partidos,3a233281
42,Stefan Bajcetic,es ESP,CC,Liverpool,18-200,2004,5.8,200,258,77.5,3227,694,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,-0.4,4,17,7,1,24,Partidos,32e8417f
43,Patrick Bamford,eng ENG,DL,Leeds United,29-247,1993,15.5,213,307,69.4,2261,506,154,197,78.2,33,58,56.9,2,6,33.3,2,0.9,0.6,+1.1,11,18,9,0,22,Partidos,93feac6e
44,Shandon Baptiste,gd GRN,CC,Brentford,25-032,1998,6.4,238,284,83.8,4011,1083,124,139,89.2,87,98,88.8,21,32,65.6,1,1.0,0.5,0.0,9,22,8,2,39,Partidos,2886c9b5
45,Harvey Barnes,eng ENG,DLCC,Leicester City,25-152,1997,28.1,507,734,69.1,6625,1816,331,425,77.9,133,200,66.5,16,36,44.4,1,2.9,1.9,-1.9,17,35,28,4,73,Partidos,3ea50f67
